Session campaign,Session source / medium,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Revenue
Snapchat Paid Ad - Weekend offers - Tena - 24/04/2025 - 26/04/2025,Paid Ad / Snapchat,2,2,1,59.5,0.5,4.5,0.5,9,2,1,0
Snapchat Paid Ad - Weekend offers - cosmo - 24/04/2025 - 26/04/2025,Paid Ad / Snapchat,2,2,1,41,0.5,4.5,0.5,9,2,1,0
Snapchat Paid Ad - Weekend offers - payot - 06/04/2023 - 08/04/2023,Snapchat Paid Ad - Weekend offers - payot - 06/04/2023 - 08/04/2023 / paid ad,2,2,1,0,0.5,4.5,0.5,9,2,1,0
Snapchat paid ad - Magazine offer - 25 April - 08 May - tommee,Snapchat paid ad - Magazine offer - 25 April - 08 May - tommee / paid ad,2,2,1,0,0.5,4.5,0.5,9,2,1,0
Snapchat paid ad - Magazine offers - 09-12 Apr - foltene 8025 on 2nd,Snapchat paid ad - Magazine offers - 09-12 Apr - foltene 8025 on 2nd / paid ad,2,3,1,0,0.5,3,0.333333333,9,3,1,0
Snapchat paid ads - Weekend offers - Himalaya - 16/01/2025 - 18/01/2025,Snapchat paid ads - Weekend offers - Himalaya - 16/01/2025 - 18/01/2025 / paid ad,2,2,1,0.5,0.5,4.5,0.5,9,2,1,0
YourSummerWithYourCar,google / youtube,2,3,1,0,0.5,3,0.333333333,9,4,1,0
meri-na,statics.teams.cdn.office.net / display,2,3,0,1,0,3,0,9,3,1,0
(not set),Influencer 7 - Eid Al Fitr Contest - 27/03/2024 - 10/04/2024 / (not set),2,2,1,32,0.5,4,0.5,8,2,1,0
(referral),3d30282a-5365-4234-bd38-254e19f1922c.poki-gdn.com / referral,2,3,0,0,0,2.666666667,0,8,3,1,0
(referral),5b5f8af1-684b-4557-a71b-a865cf564b1d.poki-gdn.com / referral,2,2,1,5.5,0.5,4,0.5,8,2,1,0
(referral),5dd33315-015f-11ea-ad56-9cb6d0d995f7.poki-gdn.com / referral,2,3,0,0,0,2.666666667,0,8,3,1,0
(referral),Accelerate - Facebook foltene 80%on 2nd / referral,2,2,2,5.5,1,4,1,8,2,1,0
(referral),b1d3aec5-9ce6-4594-a03c-b16800650df0.poki-gdn.com / referral,2,2,2,0.5,1,4,1,8,2,1,0
(referral),b68af926-7dc2-4217-aabe-3aa8a3fe66a4.poki-gdn.com / referral,2,2,1,0.5,0.5,4,0.5,8,2,1,0
(referral),blog.makeupguide.net / referral,2,2,2,14.5,1,4,1,8,4,1,0
(referral),boxing-social.com / referral,2,2,1,1,0.5,4,0.5,8,2,1,0
(referral),cloudflare.lightning.force.com / referral,2,2,2,3,1,4,1,8,2,1,0
(referral),d0b43efe-1bab-401e-ab6b-f0206070e15f.poki-gdn.com / referral,2,2,1,257.5,0.5,4,0.5,8,2,1,0
(referral),d29f8820-aaf2-4d9b-bab6-9279260cb694.poki-gdn.com / referral,2,2,1,0,0.5,4,0.5,8,2,1,0
(referral),dawamasr.com / referral,2,2,1,54.5,0.5,4,0.5,8,2,1,0
(referral),drugsindex.net / referral,2,3,1,0,0.5,2.666666667,0.333333333,8,3,1,0
(referral),egyptdwa.com / referral,2,2,1,17,0.5,4,0.5,8,2,1,0
(referral),elwatannews.com / referral,2,3,0,0,0,2.666666667,0,8,3,1,0
(referral),fc587c36-3b4d-49d4-bc72-b2066b910492.poki-gdn.com / referral,2,3,0,0,0,2.666666667,0,8,3,1,0
(referral),gardeniapharmacies.com / referral,2,2,0,6,0,4,0,8,2,1,0
(referral),homesleene.com / referral,2,2,1,9.5,0.5,4,0.5,8,2,1,0
(referral),insighthubnews.com / referral,2,2,2,0,1,4,1,8,4,1,0
(referral),lolbeans.io / referral,2,2,1,0.5,0.5,4,0.5,8,2,1,0
(referral),madtechnologies.co / referral,2,2,1,4.5,0.5,4,0.5,8,2,1,0
(referral),otc.my-sandoz.com / referral,2,2,2,8.5,1,4,1,8,2,1,0
(referral),sa.investing.com / referral,2,2,1,4,0.5,4,0.5,8,2,1,0
(referral),simah.com / referral,2,2,1,13,0.5,4,0.5,8,2,1,0
(referral),similarsites.com / referral,2,2,1,2.5,0.5,4,0.5,8,2,1,0
(referral),start.duckduckgo.com / referral,2,2,1,55.5,0.5,4,0.5,8,2,1,0
(referral),swisscows.com / referral,2,2,0,2,0,4,0,8,2,1,0
(referral),trucarefzc.com / referral,2,2,0,3,0,4,0,8,2,1,0
(referral),vn.search.yahoo.com / referral,2,2,1,5,0.5,4,0.5,8,2,1,0
(referral),www4.bing.com / referral,2,2,2,65,1,4,1,8,2,1,0
(referral),yandex.uz / referral,2,2,1,21.5,0.5,4,0.5,8,2,1,0
(referral),zyadda.com / referral,2,2,1,46,0.5,4,0.5,8,2,1,0
1.20E+17,fb-SiteLink-645-4 / paid,2,2,1,0,0.5,4,0.5,8,2,1,0
1.20E+17,fb-SiteLink-188-3 / paid,2,3,1,1,0.5,2.666666667,0.333333333,8,3,1,0
1.20E+17,ig / paid,2,3,0,0,0,2.666666667,0,8,3,1,0
1.20E+17,fb-SiteLink-688-1 / paid,2,3,0,0,0,2.666666667,0,8,3,1,0
Accelerate Facebo paid ad - Weekend freshdays- 15-17 Jun,Accelerate Facebook paid ad - Weekend freshdays- 15-17 Jun / paid ad,2,2,2,8,1,4,1,8,2,1,0
Accelerate Instagram paid ad - Weekend freshdays- 15-17 Jun,Accelerate Facebii paid ad - Weekend freshdays- 15-17 Jun / paid ad,2,2,2,7.5,1,4,1,8,2,1,0
Adventure - Instagram paid ad - Magazine offer - 08-11 Jun - beurer 20% off,Adventure - Instagram paid ad - Magazine offer - 08-11 Jun - beurer 20% off / paid ad,2,2,2,7,1,4,1,8,2,1,0
Adventures - Instagram paid ad - Wekend - himalaya - 08-10 Jun,Adventures - Instagram paid ad - Weekend - himalaya - 08-10 Jun / paid ad,2,2,2,6.5,1,4,1,8,2,1,0
Adventures - Snapchat paid ad - Magazine offer - 08-11 Jun - bio-balance 1-2B1,Adventures - Snapchat paid ad - Magazine offer - 08-11 Jun - bio-balance 1-2B1 / paid ad,2,3,0,0,0,2.666666667,0,8,3,1,0
Adventures Facebook paid ad - Weekend qv - 15-17 Jun,Adventures Facebook paid ad - Weekend qv - 15-17 Jun / paid ad,2,2,1,4,0.5,4,0.5,8,2,1,0
Baby Joy 2+1 - Paid Ad - [26/06/2020],Social Meda / Ad,2,2,2,4.5,1,4,1,8,2,1,0
DMI - Magazine offers - 24 Aug-7 Sep 2023,DMI - Magazine offers - 24 Aug-7 Sep 2023 / DMI,2,2,2,11.5,1,4,1,8,2,1,0
DMI- Magazine offers - 09-13 Feb 2023,DMI- Magazine offers - 09-13 Feb 2023 / DMI,2,2,2,31.5,1,4,1,8,2,1,0
Emarsys - Weekend offers - mustela - 23/01/2025 - 25/01/2025,Emarsys - Weekend offers - mustela - 23/01/2025 - 25/01/2025 / mail,2,3,2,19.66666667,1,2.666666667,0.666666667,8,3,1,0
Facebook Paid Ad - Email - Uriage - 05/03/2025,Facebook Paid Ad - Email - Uriage - 05/03/2025 / Email,2,3,0,11.33333333,0,2.666666667,0,8,3,1,0
Facebook Paid Ad - Magazine offer - Pampers 1+1 - 11-17 June 2021,Facebook Paid Ad - Magazine offer - Pampers 1+1 - 11-17 June 2021 / Paid Ad,2,3,0,0,0,2.666666667,0,8,3,1,0
Facebook Paid Ad - Magazine offers - SIMILAC - 19/02/2025 - 23/02/2025,Facebook Paid Ad - Magazine offers - SIMILAC - 19/02/2025 - 23/02/2025 / Paid Ad,2,2,1,6,0.5,4,0.5,8,2,1,0
Facebook Paid Ad - Summer Brand - 22/04/2025,Facebook Paid Ad - Summer Brand - 22/04/2025 / Paid Ad,2,3,1,24,0.5,2.666666667,0.333333333,8,3,1,0
Facebook Paid Ad - Weekend Offers - 17-19 June - Cetaphil 1+1,Facebook Paid Ad - Weekend Offers - 17-19 June - Cetaphil 1+1 / Paid ad,2,3,0,0,0,2.666666667,0,8,3,1,0
Facebook Paid Ad - Weekend offers - Sunsilk 1+1 - 06-08 May 2021,Facebook Paid Ad - Weekend offers - Sunsilk 1+1 - 06-08 May 2021 / Paid Ad,2,3,0,0,0,2.666666667,0,8,3,1,0
Facebook Paid Ad - Weekend offers - TENA - 08/05/2025 - 10/05/2025,Facebook Paid Ad - Weekend offers - TENA - 08/05/2025 - 10/05/2025 / Paid Ad,2,3,1,2.333333333,0.5,2.666666667,0.333333333,8,3,1,0
Facebook paid ad - Magazine offer - 12-20 Jun - qv 50% on 2nd,Instagram paid ad - Magazine offer - 12-20 Jun - qv 50% on 2nd / paid ad,2,2,2,7,1,4,1,8,2,1,0
Facebook paid ad - Magazine offers - 13-19 Mar - accu chek guide monitor 25&,Facebook paid ad - Magazine offers - 13-19 Mar - accu chek guide monitor 25% / paid ad,2,2,2,8,1,4,1,8,2,1,0
Facebook paid ads - Weekend offers - H&W - 02/01/2025 - 04/01/2025,Facebook paid ads - Weekend offers - H&W - 02/01/2025 - 04/01/2025 / Paid ad,2,2,2,13.5,1,4,1,8,2,1,0
Facebook paid ads - Weekend offers - Personal care - 18/07/2024 - 20/07/2024,Facebook paid ads - Weekend offers - Personal care - 18/07/2024 - 20/07/2024 / Paid ad,2,2,1,14.5,0.5,4,0.5,8,2,1,0
Facebook paid ads - Weekend offers - ducray - 27%,Facebook paid ads - Weekend offers - ducray - 27/11/2024 - 01/12/2024 / Paid ads,2,2,2,3,1,4,1,8,2,1,0
Instagram Paid Ad - Magazine offers - Baby care - 08/03/2024 - 21/03/2024,Instahttps://www.al-dawaa.com/arabic/promo/magazine-beauty-offer?utm_source=Instagram Paid Ad - Magazine offers - Beauty Care - 08/03/2024 - 21/03/2024 / Paid ad,2,2,2,6.5,1,4,1,8,2,1,0
Instagram Paid ad - Baby care - Nuralac - 24/11/2024 - 05/12/2024,Instagram Paid ad - Baby care - Nuralac - 24/11/2024 - 05/12/2024 / paid ad,2,2,1,2,0.5,4,0.5,8,2,1,0
Instagram Story - Healthy Snacks - 01 - 31 Augest,Instagram / Story,2,3,0,0,0,2.666666667,0,8,3,1,0
Instagram paid ad - Brufen 400 mg tab - 03/11/2022 - 03/01/2029,Instagram paid ad - Brufen 400 mg tab - 03/11/2022 - 03/01/2023 / Instagram paid ad,2,2,2,8,1,4,1,8,2,1,0
Instagram paid ad - Eveline - 31/10/2024,Instagram paid ad - Eveline - 31/10/2024 / Banner,2,2,0,4.5,0,4,0,8,2,1,0
Instagram paid ad - Magazine offer - 21-25 July - vivahair 30% of,Instagram paid ad - Magazine offer - 21-25 July - vivahair 30% off / Banner,2,3,0,0,0,2.666666667,0,8,3,1,0
Instagram paid ad - Magazine offer - omron - 13-20 Oct 2023,Instagram paid ad - Magazine offer - omron - 13-20 Oct 2023 / paid ad,2,2,1,1,0.5,4,0.5,8,2,1,0
Instagram paid ad - Magazine offer - wellmiel - 20-23 Sep 2023,Instagram paid ad - Magazine offer - wellmiel - 20-23 Sep 2023 / paid ad,2,2,2,8,1,4,1,8,2,1,0
Instagram paid ad - Weekend QV- 20-22 July,Instagram paid ad - Weekend QV- 20-22 July / paid ad,2,2,2,6.5,1,4,1,8,2,1,0
Instagram paid ad - Weekend palette - 20-22 July,Instagram paid ad - Weekend palette - 20-22 July / paid ad,2,2,2,8,1,4,1,8,2,1,0
Instagram paid ads - Baby care flash offers - 10/11/2024,Instagram paid ads - Baby care flash offers - 10/11/2024-SiteLink-4 / paid ads,2,2,2,82.5,1,4,1,8,2,1,0
Instagram story - Health and wellness - ronose - 23/10/2024,Instagram story - Health and wellness - ronose - 23/10/2024 / Story,2,3,1,3.333333333,0.5,2.666666667,0.333333333,8,3,1,0
Mailchimp - Adha Campaign 2022 World Cup - 27/06/2022 en,Mailchimp - Adha Campaign 2022 World Cup - 27/06/2022 en / mail,2,2,2,59,1,4,1,8,2,1,0
Mailchimp - H&W - Magazine offers - 9-20 Sep - Diabetic monitors 50% Off,Mailchimp - H&W - Magazine offers - 9-20 Sep - Diabetic monitors 50% Off / Email,2,2,1,2.5,0.5,4,0.5,8,2,1,0
Mailchimp - Magazine offers - Baby - 23 Dec - 07 Jan 2022,Mailchimp - Magazine offers - Baby - 23 Dec - 07 Jan 2022 / Email,2,2,2,0,1,4,1,8,2,1,0
Mailchimp - Otimo marketing campaign - 19/09/2022,Mailchimp - Otimo marketing campagin - 19/09/2022 / mail,2,2,1,5,0.5,4,0.5,8,2,1,0
Mailchimp - Weekend - lux - 08-10 JunJun,Mailchimp - Weekend - lux - 08-10 Jun / mail,2,2,2,30,1,4,1,8,2,1,0
Mailchimp - Weekend beauty offers - beurer - 10-12 August 2023,Mailchimp / email,2,2,2,2,1,4,1,8,2,1,0
Mailchimp - Weekend offers - beesline - 04/05/2023 - 06/05/2023,Mailchimp - Weekend offers - beesline - 04/05/2023 - 06/05/2023 / mail,2,2,1,3.5,0.5,4,0.5,8,2,1,0
Mailchimp - Weekend offers qv- 24-26 August 2023,Mailchimp - Weekend offers qv- 24-26 August 2023 / mail,2,2,1,2.5,0.5,4,0.5,8,2,1,0
Mailchimp - Weekend offers sosdenti - 03- 05 August 2023,Mailchimp / email,2,2,1,15,0.5,4,0.5,8,2,1,0
Mailchimp weekly offer 10-17 January Arabic Button,Mailchimp weekly offer 10-17 January Arabic Button / Email,2,3,0,0,0,2.666666667,0,8,3,1,0
RENE FURTERER - Facebook - Sherif Elkadi - [15/05/2020],Facebook / Post/Ad,2,2,1,0,0.5,4,0.5,8,3,1,0
Slider 1 - Banner 1 - AR - Nation,Slider 1 - Banner 1 - AR - National Day 93 - 01/09/2023 - 24/09/2023 / Banner,2,2,1,11.5,0.5,4,0.5,8,2,1,0
Slider 1 - Banner 3 - Ar - Hajj Needs - 24/06/2022 - 09/07/2022,Slider 1 - Banner 3 - Ar - Hajj Needs - 24/06/2022 - 09/07/2022 / banner,2,2,1,9.5,0.5,4,0.5,8,2,1,0
Slider 1 - Banner 4 - AR - Diva - Beauty Care - 22/03/2024 - 25/03/2024,Slider 1 - Banner 4 - AR - Diva - Beauty Care - 22/03/2024 - 25/03/2024 / Banner,2,3,1,0,0.5,2.666666667,0.333333333,8,3,1,0
Slider 2 - Banner 8 - EN - wellmiel - 17-08-2023 to 23-08-2023,Slider 2 - Banner 8 - EN - wellmiel - 17-08-2023 to 23-08-2023 / Banner,2,3,0,0,0,2.666666667,0,8,3,1,0
Snapchat - White brightening cream 40 gm - 07/02/2023,Snapchat - White brightening cream 40 gm - 07/02/2023 / Snapchat,2,2,2,0,1,4,1,8,2,1,0
Snapchat Paid Ad - Baby killer- 08-12Jan -pampers wipes 3525,Snapchat Paid Ad - Baby killer- 08-12Jan -pampers wipes 3525 / paid ad,2,3,0,0,0,2.666666667,0,8,3,1,0
Snapchat Paid Ad - Magazine offers - 07-18 May - Apple fit 1+1,Snapchat Paid Ad - Magazine offers - 07-18 May - Apple fit 1+1 / Paid Ad,2,3,0,0,0,2.666666667,0,8,3,1,0
Snapchat Paid Ad - Magazine offers - Redoxon - 21/05/2025 - 07/06/2025,Snapchat Paid Ad - Magazine offers - Redoxon - 21/05/2025 - 07/06/2025 / Paid Ad,2,2,1,7.5,0.5,4,0.5,8,2,1,0
Snapchat Paid Ad - Weekend offers - Jamieson - 27/05/2025 - 02/06/2025,Snapchat Paid Ad - Weekend offers - Jamieson - 27/05/2025 - 02/06/2025 / referral,2,2,2,24,1,4,1,8,2,1,0
Snapchat Paid Ad - Weekend offers - Mothernest - 01/04/2025 - 05/04/2025,Snapchat Paid Ad - Weekend offers - Mothernest - 01/04/2025 - 05/04/2025 / Paid Ad,2,2,1,58,0.5,4,0.5,8,2,1,0
Snapchat Paid Ad - beauty Weekend offers - 16/03/2023 - 18/03/2023,Snapchat Paid Ad - beauty Weekend offers - 16/03/2023 - 18/03/2023 / paid ad,2,2,2,12,1,4,1,8,2,1,0
Snapchat paid ad - Alrajhi campaign -07/06/2023,Snapchat paid ad - Alrajhi campaign -07/06/2023 / paid ad,2,2,2,30,1,4,1,8,2,1,0
Snapchat paid ad - Eid campaign - contest page - 14/04/2022,Youtube paid ad - Eid campaign - contest page - 14/04/2022 / paid ad,2,2,1,1,0.5,4,0.5,8,2,1,0
Snapchat paid ad - Magazine offer - 09-13 May - Beurer 2525,Snapchat paid ad - Magazine offer - 09-13 May - Beurer 2525 / paid ad,2,2,1,3.5,0.5,4,0.5,8,2,1,0
Snapchat paid ad - Magazine offer - 09-13 May - formoline 2+1,Snapchat paid ad - Magazine offer - 09-13 May - formoline 2+1 / paid ad,2,3,1,1.333333333,0.5,2.666666667,0.333333333,8,3,1,0
Snapchat paid ad - Magazine offers - 13-24 Apr - uriage 8025 on 2nd,Snapchat paid ad - Magazine offers - 13-24 Apr - uriage 8025 on 2nd / paid ad,2,3,0,0,0,2.666666667,0,8,3,1,0
paid Ads- dawaa,Septofort / CPP,2,2,2,0,1,4,1,8,4,1,0
patsh 2 | 24\11\2024,ig / Instagram_Stories,2,3,0,0,0,2.666666667,0,8,3,1,0
snapchat Paid Ad - Magazine offers - Max Factor - 25/01/2025 - 07/02/2025,snapchat Paid Ad - Magazine offers - Max Factor - 25/01/2025 - 07/02/2025 / Paid Ad,2,3,1,13.66666667,0.5,2.666666667,0.333333333,8,3,1,0
(not set),Programmatic ads 1 - White Friday Offers - 10/11/2023 - 21/11/2023 / (not set),2,2,0,1,0,3.5,0,7,2,1,0
(not set),QR Code - E-commerce Magazine - AR - Check up your skin - Skin Analysis / (not set),2,2,0,0,0,3.5,0,7,2,1,0
(referral),5dd27733-015f-11ea-ad56-9cb6d0d995f7.poki-gdn.com / referral,2,2,0,0.5,0,3.5,0,7,2,1,0
(referral),5dd27cde-015f-11ea-ad56-9cb6d0d995f7.poki-gdn.com / referral,2,2,1,4.5,0.5,3.5,0.5,7,2,1,0
(referral),5dd2ad1d-015f-11ea-ad56-9cb6d0d995f7.poki-gdn.com / referral,2,2,1,1.5,0.5,3.5,0.5,7,2,1,0
(referral),5dd2d389-015f-11ea-ad56-9cb6d0d995f7.poki-gdn.com / referral,2,2,1,15,0.5,3.5,0.5,7,2,1,0
(referral),5dd38628-015f-11ea-ad56-9cb6d0d995f7.poki-gdn.com / referral,2,2,1,1,0.5,3.5,0.5,7,2,1,0
(referral),646202b625f7b.site123.me / referral,2,2,1,2,0.5,3.5,0.5,7,2,1,0
(referral),77b4d324-f8ec-4913-941e-7b88c7523856.poki-gdn.com / referral,2,2,1,6.5,0.5,3.5,0.5,7,2,1,0
(referral),78cbbd61-793d-4314-8bdd-c4af724dca44.poki-gdn.com / referral,2,2,1,0,0.5,3.5,0.5,7,2,1,0
(referral),7e9cb1fd-d156-4d82-9a6e-4d750423ed74.poki-gdn.com / referral,2,2,1,0,0.5,3.5,0.5,7,2,1,0
(referral),89df3eb9-6f18-442a-a315-0e7cb7e55cbd.poki-gdn.com / referral,2,2,0,2.5,0,3.5,0,7,2,1,0
(referral),8b32c0f4-2dcb-4fdd-bf8b-16df63b01532.poki-gdn.com / referral,2,2,1,3,0.5,3.5,0.5,7,2,1,0
(referral),970cfd68-97c5-4adc-afbc-03ae30204005.poki-gdn.com / referral,2,2,0,0.5,0,3.5,0,7,2,1,0
(referral),Instagram Paid Ad - Weekend offers - rexona 16/02/2023 - 18/02/2023 / referral,2,2,1,0,0.5,3.5,0.5,7,2,1,0
(referral),Instagram paid ad - Magazine offers - 14-18 Feb - Veet 50% on 2nd / referral,2,2,1,0,0.5,3.5,0.5,7,2,1,0
(referral),Lorinase-D | Apr 25 | Awareness | $3400 / referral,2,2,1,1,0.5,3.5,0.5,7,2,1,0
(referral),a83061a3-6c94-48d3-b9c5-65b31b279a78.poki-gdn.com / referral,2,2,0,3.5,0,3.5,0,7,2,1,0
(referral),ab7c60f2-5e03-42c1-8c3d-ee735567c034.poki-gdn.com / referral,2,2,1,2.5,0.5,3.5,0.5,7,2,1,0
(referral),admanager.google.com / referral,2,2,1,7,0.5,3.5,0.5,7,2,1,0
(referral),ag.my-cima.net / referral,2,2,1,0.5,0.5,3.5,0.5,7,2,1,0
(referral),aksia-health.com / referral,2,2,0,2,0,3.5,0,7,2,1,0
(referral),al-madina.com / referral,2,2,1,3.5,0.5,3.5,0.5,7,2,1,0
(referral),almnsa.com / referral,2,2,1,21.5,0.5,3.5,0.5,7,2,1,0
(referral),app.minea.com / referral,2,2,1,1.5,0.5,3.5,0.5,7,2,1,0
(referral),app.seamless-expo.com / referral,2,2,1,7.5,0.5,3.5,0.5,7,2,1,0
(referral),ba5f64b9-b330-40fe-b712-ee9bf574f0a7.poki-gdn.com / referral,2,2,0,1,0,3.5,0,7,2,1,0
(referral),british.co.uk / referral,2,2,1,647,0.5,3.5,0.5,7,2,1,0
(referral),browser-searchresult.com / referral,2,2,2,64,1,3.5,1,7,2,1,0
(referral),canlitv.mobi / referral,2,2,1,0.5,0.5,3.5,0.5,7,2,1,0
(referral),d7d051d3-9e74-4280-93c9-976c1f64c9a1.poki-gdn.com / referral,2,2,0,0.5,0,3.5,0,7,2,1,0
(referral),eef773ae-c2b1-45d3-8aeb-ec0145ab81dc.poki-gdn.com / referral,2,2,1,0.5,0.5,3.5,0.5,7,2,1,0
(referral),elconsolto.com / referral,2,2,1,8.5,0.5,3.5,0.5,7,2,1,0
(referral),entertainment.inquirer.net / referral,2,2,0,1,0,3.5,0,7,2,1,0
(referral),idp.jarirbookstore.com / referral,2,2,0,3.5,0,3.5,0,7,2,1,0
(referral),image.google.ci / referral,2,2,2,69.5,1,3.5,1,7,2,1,0
(referral),khbrny.com / referral,2,2,1,16.5,0.5,3.5,0.5,7,2,1,0
(referral),kooora4lives.io / referral,2,2,1,10,0.5,3.5,0.5,7,2,1,0
(referral),link.edgepilot.com / referral,2,2,1,42.5,0.5,3.5,0.5,7,2,1,0
(referral),m.timesofindia.com / referral,2,2,1,102,0.5,3.5,0.5,7,2,1,0
(referral),misr5.com / referral,2,2,1,27,0.5,3.5,0.5,7,2,1,0
(referral),mx.shahidmosalsalat.co / referral,2,2,0,0,0,3.5,0,7,2,1,0
(referral),news.google.com / referral,2,2,0,1.5,0,3.5,0,7,2,1,0
(referral),popularmechanics.com / referral,2,2,1,13.5,0.5,3.5,0.5,7,2,1,0
(referral),pornhub.com / referral,2,3,0,0,0,2.333333333,0,7,3,1,0
(referral),screenrant.com / referral,2,2,1,18,0.5,3.5,0.5,7,2,1,0
(referral),search.metaxplay.net / referral,2,2,1,110,0.5,3.5,0.5,7,2,1,0
(referral),sidalih.com / referral,2,2,1,0,0.5,3.5,0.5,7,2,1,0
(referral),sites.google.com / referral,2,2,1,10.5,0.5,3.5,0.5,7,2,1,0
(referral),sportskeeda.com / referral,2,2,0,0.5,0,3.5,0,7,2,1,0
(referral),the-beauty-line.com / referral,2,2,1,0,0.5,3.5,0.5,7,3,1,0
(referral),thelallantop.com / referral,2,2,0,2,0,3.5,0,7,2,1,0
(referral),wormate.io / referral,2,2,1,7,0.5,3.5,0.5,7,2,1,0
(referral),www-google-com.translate.goog / referral,2,2,1,0,0.5,3.5,0.5,7,2,1,0
1.20E+17,ig / paid,2,2,0,0.5,0,3.5,0,7,2,1,0
1.20E+17,ig / paid,2,2,2,7,1,3.5,1,7,2,1,0
Bioderma Photoderm - SMS - Abo Amo - [11/06/2020],SMSM / SMS,2,2,0,0,0,3.5,0,7,2,1,0
Bioglide,"Facebook, google Instagram / referral",2,2,1,3,0.5,3.5,0.5,7,2,1,0
CoMarketing_AlDawaa,(not set) / display,2,2,1,0,0.5,3.5,0.5,7,2,1,0
Emarsys - Magazine Offer - tresemme - 10/01/2024,Emarsys - Magazine Offer - tresemme - 10/01/2024 / mail,2,2,1,19,0.5,3.5,0.5,7,2,1,0
Emarsys - Weekend offers - Beauty care - palette - 12/12/2024 - 14/12/2024,Emarsys - Weekend offers - Beauty care - palette - 12/12/2024 - 14/12/2024 / mail,2,2,1,12,0.5,3.5,0.5,7,2,1,0
Emarsys - emailer - ronzac - Ron j 508521- 02/10/2024,Emarsys - emailer - ronzac - Ron j 508521- 02/10/2024 / mail,2,2,1,0,0.5,3.5,0.5,7,2,1,0
Facebook Paid Ad - Baby offers - 26 May - 03 Jun - Avent 50% on 2nd,Facebook Paid Ad - Baby offers - 26 May - 03 Jun - Avent 50% on 2nd / Paid Ad,2,2,1,3.5,0.5,3.5,0.5,7,2,1,0
Facebook Paid Ad - Lifebuoy 1+1 18-20 March 2021,Facebook Paid Ad - Lifebuoy 1+1 18-20 March 2021 / Paid Ad,2,2,1,0,0.5,3.5,0.5,7,2,1,0
Facebook Paid Ad - Magazine Offers - Health & Wellness - Accu check - 26/06%2,Facebook Paid Ad - Magazine Offers - Health & Wellness - Accu check - 26/06/2024 - 04/07/2024 / Paid Ad,2,2,1,2,0.5,3.5,0.5,7,2,1,0
Facebook Paid Ad - Magazine offers -,Facebook Paid Ad - Magazine offers - Personal care - Gillete - 24/09/2024 - 05/10/2024 / Facebook Paid Ad - Magazine offers - Personal care - Gillete - 24/09/2024 - 05/10/2024,2,2,1,3,0.5,3.5,0.5,7,2,1,0
Facebook Paid Ad - Magazine offers - Baby Care - 21/02/2024 - 24/02/202,Facebook Paid Ad - Magazine offers - Baby Care - 21/02/2024 - 24/02/2024 / Paid ad,2,2,1,4.5,0.5,3.5,0.5,7,2,1,0
Facebook Paid Ad - Weekend offers - Baby Care - 27/04/2025 - 03/05/2025,Facebook Paid Ad - Weekend offers - Baby Care - 27/04/2025 - 03/05/2025 / Weekend,2,2,1,57.5,0.5,3.5,0.5,7,2,1,0
Facebook Paid Ad- PC Weekend-Offers-10-12 June 1+1 Beesline,Facebook Paid Ad- PC Weekend-Offers-10-12 June 1+1 Beesline / Paid ad,2,2,1,5,0.5,3.5,0.5,7,2,1,0
Facebook Story - back to school contest - 13/08/2023 - 23/08/2023,Facebook / Story,2,2,1,3,0.5,3.5,0.5,7,2,1,0
Facebook paid ad - Magazine offers - 13-19 Mar - splenda 20% off,Facebook paid ad - Magazine offers - 13-19 Mar - splenda 20% off / paid ad,2,2,1,4,0.5,3.5,0.5,7,2,1,0
Facebook paid ad - Magazine offers - 21-24 January - beesline 35%,Facebook paid ad - Magazine offers - 21-24 January - beesline 35% / paid ad,2,2,1,5,0.5,3.5,0.5,7,2,1,0
Facebook paid ads - Weekend offers - H&W - 09/01/2025 - 11/01/2025,Facebook paid ads - Weekend offers - H&W - 09/01/2025 - 11/01/2025 / Paid ad,2,2,1,0.5,0.5,3.5,0.5,7,2,1,0
Google paid ad - prospan - 08/12/2024,Google paid ad - prospan - 08/12/2024 / paid,2,2,1,11.5,0.5,3.5,0.5,7,2,1,0
Influencer - Official Maryam - AR Skin analysis - 23/01/2022,Influencer - Official Maryam - AR Skin analysis - 23/01/2022 / Influencer,2,2,0,0,0,3.5,0,7,2,1,0
Instagram - Social Media Bio - App download - 12/09/2021,Instagram - Social Media Bio - App download - 12/09/2021 / Social Media Bio,2,2,0,0.5,0,3.5,0,7,2,1,0
Instagram Bio - Beurer IPL 8500 Velvet Skin Pro Review Contest - 28/09/2023 - 09/11/2,Instagram Bio - Beurer IPL 8500 Velvet Skin Pro Review Contest - 28/09/2023 - 09/11/2023 / Bio,2,2,1,3,0.5,3.5,0.5,7,2,1,0
Instagram Paid Ad - Weekend offers - Jamieson - 27/05/2025 - 02/06/2025,Instagram Paid Ad - Weekend offers - Jamieson - 27/05/2025 - 02/06/2025 / referral,2,2,0,0,0,3.5,0,7,2,1,0
Instagram Paid Ad - Weekend offers - SENSODYNE - 27/01/2025 - 01/02/2025,Instagram Paid Ad - Weekend offers - SENSODYNE - 27/01/2025 - 01/02/2025 / Paid Ad,2,2,1,29.5,0.5,3.5,0.5,7,2,1,0
